semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2024-12-23,TRIMA,46,72,KAMA,83,88
2024-12-30,DEMA,92,101,EMA,72,66
2025-01-06,T3,60,48,KAMA,78,57
2025-01-13,TEMA,48,73,TEMA,83,76
2025-01-20,TEMA,55,106,TEMA,43,69
2025-01-27,TEMA,75,78,KAMA,73,78
2025-02-03,TEMA,75,52,T3,89,4
2025-02-10,SMA,81,104,SMA,100,107
2025-02-17,MIDPOINT,65,64,KAMA,97,54
2025-02-24,T3,49,63,EMA,67,94
2025-03-03,EMA,76,24,MIDPOINT,96,6
2025-03-10,EMA,80,17,KAMA,92,81
2025-03-17,TEMA,67,103,TRIMA,58,92
2025-03-24,MIDPOINT,83,82,TEMA,75,69
2025-03-31,TEMA,95,87,DEMA,72,65
2025-04-07,MIDPOINT,52,94,DEMA,65,64
2025-04-14,TEMA,88,84,TRIMA,88,38
2025-04-21,TEMA,72,59,EMA,81,107
2025-04-28,T3,17,95,DEMA,70,77
2025-05-05,SMA,63,107,KAMA,100,98
2025-05-12,KAMA,67,102,KAMA,75,50
2025-05-19,KAMA,79,102,KAMA,75,46
2025-05-26,EMA,91,87,KAMA,85,109
2025-06-02,T3,48,73,T3,45,86
2025-06-09,TEMA,82,90,T3,28,94
2025-06-16,TEMA,97,51,KAMA,30,102
2025-06-23,TEMA,50,64,MIDPOINT,55,60
2025-06-30,TEMA,59,39,SMA,58,99
2025-07-07,KAMA,86,105,DEMA,94,87
2025-07-14,TEMA,59,46,SMA,78,5
2025-07-21,TRIMA,63,4,DEMA,88,101
2025-07-28,TEMA,77,40,SMA,78,4
2025-08-04,EMA,92,110,TEMA,87,83
2025-08-11,DEMA,89,110,TEMA,65,71
2025-08-18,EMA,92,78,DEMA,77,31
2025-08-25,KAMA,89,82,MIDPOINT,90,16
2025-09-01,T3,49,79,TEMA,83,96
2025-09-08,T3,41,69,T3,30,87
2025-09-15,EMA,72,54,T3,30,87
2025-09-22,DEMA,72,72,MIDPOINT,30,87
2025-09-29,DEMA,80,73,WMA,89,110
2025-10-06,DEMA,85,96,EMA,100,31
2025-10-13,TRIMA,52,94,DEMA,85,93
2025-10-20,T3,49,86,T3,26,103
2025-10-27,DEMA,96,110,KAMA,76,80
2025-11-03,KAMA,83,88,SMA,78,69
2025-11-10,MIDPOINT,56,79,MIDPOINT,70,72
2025-11-17,TEMA,84,93,MIDPOINT,62,61
2025-11-24,TEMA,81,82,MIDPOINT,66,101
2025-12-01,KAMA,56,72,KAMA,72,62
2025-12-08,KAMA,56,28,KAMA,90,95
2025-12-15,DEMA,30,86,MIDPOINT,83,61
2025-12-22,TEMA,48,101,T3,30,64
2025-12-29,TEMA,52,94,T3,15,108
2026-01-05,T3,27,96,MIDPOINT,19,103
2026-01-12,EMA,43,95,KAMA,75,39
2026-01-19,EMA,51,67,T3,36,77
2026-01-26,SMA,37,109,DEMA,52,94
2026-02-02,MIDPOINT,81,34,TEMA,78,102
2026-02-09,DEMA,83,90,DEMA,90,109
2026-02-16,KAMA,83,88,KAMA,97,64
2026-02-23,EMA,65,95,DEMA,92,96
2026-03-02,EMA,56,99,DEMA,75,76
2026-03-09,MIDPOINT,57,45,DEMA,75,76
2026-03-16,TRIMA,86,10,KAMA,91,86
2026-03-23,DEMA,99,110,MIDPOINT,68,99
2026-03-30,TEMA,100,75,TEMA,83,88
2026-04-06,TRIMA,73,92,MIDPOINT,72,62
2026-04-13,KAMA,72,110,KAMA,85,86
2026-04-20,SMA,73,84,MIDPOINT,90,101
2026-04-27,SMA,72,88,T3,40,70
2026-05-04,SMA,75,76,EMA,83,110
2026-05-11,KAMA,70,109,WMA,80,60
2026-05-18,KAMA,58,42,T3,57,70
2026-05-25,DEMA,97,2,TRIMA,98,109
2026-06-01,TEMA,89,81,TEMA,88,84
2026-06-08,KAMA,93,60,EMA,97,80
2026-06-15,TEMA,80,5,MIDPOINT,90,102
2026-06-22,T3,33,84,SMA,95,102
2026-06-29,TEMA,88,99,T3,40,71
2026-07-06,TEMA,77,73,DEMA,76,63
2026-07-13,EMA,95,108,DEMA,96,99
2026-07-20,EMA,67,88,T3,62,54
2026-07-27,DEMA,98,107,SMA,86,99
2026-08-03,TRIMA,97,102,TRIMA,97,105
