semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2025-12-29,SMA,64,73,KAMA,96,52
2026-01-05,WMA,80,75,TEMA,74,48
2026-01-12,WMA,69,86,TRIMA,67,69
2026-01-19,KAMA,97,62,MIDPOINT,49,101
2026-01-26,KAMA,86,72,KAMA,77,58
2026-02-02,DEMA,77,82,MIDPOINT,9,11
2026-02-09,DEMA,98,4,T3,73,39
2026-02-16,EMA,90,107,SMA,84,107
2026-02-23,SMA,99,88,MIDPOINT,41,76
2026-03-02,EMA,45,81,EMA,87,92
2026-03-09,MIDPOINT,40,39,KAMA,70,77
2026-03-16,TEMA,78,86,MIDPOINT,85,54
2026-03-23,MIDPOINT,91,99,SMA,96,89
2026-03-30,SMA,96,109,T3,45,57
2026-04-06,SMA,98,80,WMA,84,96
2026-04-13,TEMA,99,69,KAMA,62,105
2026-04-20,WMA,79,77,TRIMA,71,71
2026-04-27,EMA,52,70,TEMA,71,109
2026-05-04,EMA,89,65,KAMA,96,80
2026-05-11,KAMA,78,83,MIDPOINT,56,39
2026-05-18,SMA,51,88,TEMA,44,94
2026-05-25,WMA,46,76,TEMA,70,55
2026-06-01,DEMA,97,78,KAMA,90,96
2026-06-08,WMA,43,105,WMA,58,58
