semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2025-07-21,KAMA,48,78,EMA,33,91
2025-07-28,EMA,66,85,KAMA,28,22
2025-08-04,TEMA,30,19,WMA,57,56
2025-08-11,DEMA,24,10,TEMA,55,11
2025-08-18,T3,36,95,TEMA,72,7
2025-08-25,WMA,60,105,TEMA,95,5
2025-09-01,KAMA,29,88,MIDPOINT,89,105
2025-09-08,SMA,54,54,KAMA,58,34
2025-09-15,EMA,63,104,TEMA,85,74
2025-09-22,KAMA,100,29,DEMA,50,16
2025-09-29,EMA,33,102,TEMA,75,102
2025-10-06,WMA,99,71,TEMA,56,5
2025-10-13,TEMA,32,13,EMA,86,79
2025-10-20,MIDPOINT,79,44,T3,91,29
2025-10-27,DEMA,83,86,MIDPOINT,98,64
2025-11-03,EMA,91,95,SMA,66,24
2025-11-10,KAMA,63,50,SMA,41,50
2025-11-17,DEMA,10,10,EMA,75,80
2025-11-24,TEMA,83,80,EMA,68,79
2025-12-01,TEMA,70,69,DEMA,53,68
2025-12-08,TEMA,45,106,DEMA,74,58
2025-12-15,T3,62,6,TEMA,51,110
2025-12-22,KAMA,99,33,EMA,72,97
2025-12-29,MIDPOINT,24,108,KAMA,97,73
2026-01-05,T3,21,66,TEMA,39,104
2026-01-12,KAMA,68,48,EMA,97,81
2026-01-19,DEMA,75,81,SMA,31,100
2026-01-26,EMA,90,105,EMA,75,32
2026-02-02,SMA,64,81,TRIMA,50,103
2026-02-09,TEMA,79,4,MIDPOINT,75,73
2026-02-16,TRIMA,95,13,EMA,83,70
2026-02-23,DEMA,72,90,SMA,63,110
2026-03-02,T3,23,93,EMA,98,52
2026-03-09,KAMA,90,59,KAMA,90,60
2026-03-16,KAMA,58,60,SMA,42,102
2026-03-23,TEMA,6,24,SMA,59,79
2026-03-30,T3,2,53,SMA,46,110
2026-04-06,DEMA,6,41,EMA,86,78
2026-04-13,TEMA,78,86,MIDPOINT,66,69
2026-04-20,TEMA,58,52,TEMA,81,102
2026-04-27,MIDPOINT,35,41,TEMA,99,90
2026-05-04,TRIMA,23,79,DEMA,93,95
2026-05-11,DEMA,46,82,SMA,57,103
2026-05-18,TRIMA,88,90,T3,82,47
2026-05-25,T3,8,57,MIDPOINT,89,90
2026-06-01,TEMA,62,96,TRIMA,97,108
2026-06-08,DEMA,87,21,MIDPOINT,89,87
2026-06-15,TEMA,100,70,EMA,28,27
2026-06-22,DEMA,95,61,WMA,21,58
