semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2025-05-26,T3,87,14,DEMA,81,78
2025-06-02,MIDPOINT,98,15,DEMA,99,100
2025-06-09,WMA,74,62,KAMA,93,110
2025-06-16,TEMA,47,90,T3,33,49
2025-06-23,T3,63,52,T3,60,59
2025-06-30,TEMA,83,63,TEMA,40,38
2025-07-07,MIDPOINT,91,59,EMA,98,3
2025-07-14,WMA,74,82,TEMA,92,2
2025-07-21,EMA,81,103,T3,93,28
2025-07-28,T3,30,87,KAMA,83,106
2025-08-04,MIDPOINT,80,81,WMA,88,88
2025-08-11,MIDPOINT,75,86,SMA,99,99
2025-08-18,T3,35,65,TEMA,23,99
2025-08-25,WMA,78,98,DEMA,66,108
2025-09-01,SMA,45,41,TEMA,78,59
2025-09-08,EMA,99,25,DEMA,80,70
2025-09-15,T3,37,78,WMA,91,37
2025-09-22,SMA,98,100,SMA,73,103
2025-09-29,TRIMA,59,110,TRIMA,67,65
2025-10-06,MIDPOINT,48,58,EMA,100,110
2025-10-13,WMA,80,65,KAMA,58,101
2025-10-20,KAMA,80,86,TEMA,72,95
2025-10-27,WMA,74,102,DEMA,51,100
2025-11-03,T3,15,80,DEMA,35,100
2025-11-10,SMA,20,64,SMA,91,79
2025-11-17,MIDPOINT,97,76,EMA,35,96
2025-11-24,MIDPOINT,88,92,WMA,54,78
2025-12-01,KAMA,100,74,T3,44,67
2025-12-08,KAMA,100,54,TEMA,43,6
2025-12-15,DEMA,90,45,TEMA,37,8
2025-12-22,MIDPOINT,83,85,TEMA,87,20
2025-12-29,SMA,48,109,KAMA,93,105
2026-01-05,MIDPOINT,32,48,KAMA,67,109
2026-01-12,T3,7,105,TEMA,47,103
2026-01-19,SMA,12,85,EMA,67,54
2026-01-26,WMA,49,20,T3,86,11
2026-02-02,WMA,13,76,EMA,85,77
2026-02-09,MIDPOINT,99,95,MIDPOINT,97,56
2026-02-16,KAMA,44,90,TRIMA,89,90
2026-02-23,EMA,91,99,T3,66,49
2026-03-02,KAMA,50,103,TRIMA,50,93
2026-03-09,EMA,62,72,MIDPOINT,52,58
2026-03-16,T3,47,92,EMA,36,72
2026-03-23,MIDPOINT,61,70,KAMA,76,48
2026-03-30,T3,75,47,TRIMA,89,55
2026-04-06,WMA,95,3,KAMA,75,75
2026-04-13,DEMA,92,84,KAMA,96,52
2026-04-20,T3,30,58,TRIMA,41,7
2026-04-27,MIDPOINT,44,46,EMA,95,103
2026-05-04,TEMA,96,62,EMA,78,109
2026-05-11,EMA,95,110,EMA,99,68
2026-05-18,KAMA,98,45,MIDPOINT,77,74
2026-05-25,TEMA,74,89,DEMA,44,96
2026-06-01,TEMA,51,85,SMA,26,94
2026-06-08,T3,45,26,TEMA,72,71
2026-06-15,EMA,19,106,KAMA,98,40
2026-06-22,TEMA,81,78,EMA,14,94
