semana,met_l,vela_l,lb_l,met_s,vela_s,lb_s
2025-04-21,TEMA,58,102,KAMA,77,19
2025-04-28,T3,15,101,T3,65,56
2025-05-05,KAMA,67,82,WMA,88,92
2025-05-12,EMA,62,97,KAMA,77,44
2025-05-19,EMA,73,99,WMA,93,95
2025-05-26,EMA,82,85,KAMA,92,106
2025-06-02,T3,59,67,T3,30,104
2025-06-09,T3,99,39,MIDPOINT,53,65
2025-06-16,DEMA,46,59,KAMA,47,103
2025-06-23,T3,100,36,MIDPOINT,41,108
2025-06-30,TEMA,57,46,SMA,49,98
2025-07-07,MIDPOINT,81,57,TEMA,65,99
2025-07-14,TEMA,42,70,TEMA,37,78
2025-07-21,WMA,78,4,T3,35,99
2025-07-28,T3,39,74,TEMA,36,26
2025-08-04,SMA,43,34,TEMA,73,104
2025-08-11,T3,55,58,TRIMA,35,49
2025-08-18,MIDPOINT,97,30,DEMA,90,39
2025-08-25,KAMA,85,73,KAMA,30,17
2025-09-01,TEMA,55,103,TEMA,71,93
2025-09-08,DEMA,95,75,TEMA,78,18
2025-09-15,KAMA,36,106,EMA,85,61
2025-09-22,DEMA,80,71,T3,23,107
2025-09-29,DEMA,94,52,EMA,70,98
2025-10-06,DEMA,91,78,SMA,75,106
2025-10-13,TRIMA,88,70,DEMA,65,109
2025-10-20,T3,42,94,TEMA,63,97
2025-10-27,DEMA,86,94,KAMA,53,92
2025-11-03,KAMA,89,100,KAMA,75,71
2025-11-10,MIDPOINT,86,51,SMA,60,70
2025-11-17,KAMA,94,91,SMA,90,74
2025-11-24,TEMA,71,96,KAMA,65,60
2025-12-01,MIDPOINT,57,102,EMA,86,91
2025-12-08,DEMA,30,31,EMA,71,107
2025-12-15,DEMA,42,63,TEMA,97,63
2025-12-22,T3,42,8,TEMA,60,93
2025-12-29,EMA,45,12,TEMA,73,43
2026-01-05,SMA,47,99,DEMA,40,40
2026-01-12,WMA,71,95,TEMA,80,102
2026-01-19,WMA,70,99,KAMA,66,109
2026-01-26,SMA,51,100,T3,26,71
2026-02-02,EMA,41,74,TEMA,95,73
2026-02-09,MIDPOINT,44,76,DEMA,83,110
2026-02-16,KAMA,84,87,TRIMA,93,79
2026-02-23,TRIMA,81,92,TEMA,68,100
2026-03-02,SMA,61,78,T3,63,36
2026-03-09,MIDPOINT,23,102,TRIMA,44,103
2026-03-16,KAMA,84,10,EMA,98,98
2026-03-23,SMA,100,110,TRIMA,88,91
2026-03-30,KAMA,93,99,TEMA,78,69
2026-04-06,SMA,100,69,MIDPOINT,60,72
2026-04-13,T3,45,29,MIDPOINT,76,90
2026-04-20,KAMA,74,110,MIDPOINT,83,108
2026-04-27,MIDPOINT,40,49,TEMA,76,75
2026-05-04,MIDPOINT,67,78,EMA,92,83
2026-05-11,KAMA,92,92,EMA,46,80
2026-05-18,KAMA,97,31,TEMA,94,90
2026-05-25,KAMA,86,33,TEMA,74,59
2026-06-01,DEMA,91,74,T3,78,27
2026-06-08,KAMA,71,103,WMA,64,52
2026-06-15,DEMA,71,28,KAMA,86,9
2026-06-22,TEMA,79,100,MIDPOINT,93,103
2026-07-13,WMA,86,103,TEMA,93,83
2026-07-20,WMA,77,106,DEMA,97,108
2026-07-27,EMA,100,91,MIDPOINT,97,95
2026-08-03,TRIMA,98,104,SMA,93,110
2026-08-10,TRIMA,100,109,T3,84,7
